Precinct,% Black,% White,% Other,% Young,% Middle,% Old
1,36.43724696356275,49.257759784075574,14.304993252361673,12.145748987854251,51.417004048582996,22.267206477732792
2,34.90774907749078,50.258302583025824,14.833948339483394,19.2619926199262,52.103321033210335,16.531365313653136
3,40.87947882736157,51.465798045602604,7.654723127035831,21.009771986970684,50.5700325732899,18.15960912052117
4,42.41724403387221,51.19322555812163,6.389530408006158,9.39183987682833,55.8891454965358,23.40261739799846
5,22.59475218658892,47.8134110787172,29.591836734693878,35.13119533527696,41.10787172011662,7.871720116618077
6,38.16651075771749,49.20486435921422,12.628624883068287,15.434985968194576,46.49204864359214,21.608980355472404
7,38.023715415019765,51.462450592885375,10.513833992094861,19.841897233201582,50.59288537549407,19.130434782608695
8,30.886426592797783,47.43767313019391,21.67590027700831,15.927977839335181,51.8005540166205,16.481994459833796
9,34.1533180778032,47.025171624713956,18.82151029748284,10.640732265446225,47.48283752860412,23.340961098398168
10,23.711340206185564,45.36082474226804,30.927835051546392,17.29667812142039,51.317296678121416,11.912943871706757
14,11.11111111111111,41.41414141414141,47.474747474747474,8.754208754208754,40.909090909090914,19.19191919191919
15,22.532894736842106,44.73684210526316,32.73026315789473,16.282894736842106,50.49342105263158,12.993421052631579
17,29.858112276372612,48.488587291795184,21.653300431832204,17.273288093769278,52.68352868599629,15.237507711289327
18,13.35149863760218,40.05449591280654,46.59400544959128,13.35149863760218,36.51226158038147,17.166212534059948
19,19.880239520958085,46.52694610778443,33.59281437125748,11.25748502994012,45.32934131736527,21.916167664670656
20,40.51250762660158,50.82367297132397,8.663819402074434,16.71751067724222,55.46064673581452,17.998779743746187
21,38.477951635846374,50.14224751066856,11.379800853485063,12.873399715504979,60.384068278805124,16.571834992887624
22,14.858757062146893,41.86440677966102,43.27683615819209,10.338983050847457,39.32203389830509,19.039548022598872
23,10.147783251231528,40.75533661740558,49.096880131362894,10.114942528735632,37.86535303776683,20.42692939244663
24,25.132075471698112,46.71698113207547,28.150943396226413,11.169811320754718,46.64150943396226,21.81132075471698
25,29.812981298129813,45.76457645764577,24.422442244224424,8.47084708470847,42.57425742574257,24.422442244224424
26,28.267477203647417,44.07294832826747,27.659574468085108,7.598784194528875,31.00303951367781,27.96352583586626
28,24.50199203187251,42.82868525896414,32.669322709163346,6.573705179282868,32.76892430278885,27.689243027888445
29,10.487144790257103,44.31664411366712,45.19621109607578,9.269282814614343,41.33964817320704,25.43978349120433
30-2,7.121170300855645,45.01794093292851,47.860888766215844,8.335633452939554,39.74606679547337,26.44217499309964
30-3,11.256422232601588,44.88556749182625,43.85801027557216,9.66837926202709,42.830453059318074,23.727230266230734
32,27.67145135566188,45.85326953748006,26.475279106858054,8.293460925039872,31.0207336523126,27.033492822966508
36,31.79886685552408,48.37110481586402,19.8300283286119,13.59773371104816,53.89518413597734,17.91784702549575
37,36.32218844984803,48.70820668693009,14.969604863221885,12.575987841945288,46.390577507598785,23.78419452887538
40,36.742147552958365,48.575602629656686,14.682249817384951,13.148283418553689,55.51497443389335,18.845872899926956
43,36.420361247947454,49.62233169129721,13.957307060755337,12.31527093596059,45.05747126436781,25.845648604269293
44,26.290909090909093,46.290909090909096,27.418181818181818,11.49090909090909,40.98181818181818,24.763636363636362
45,29.064685314685313,45.8041958041958,25.13111888111888,9.527972027972027,44.18706293706294,23.426573426573427
46,23.212969786293293,46.131171702284455,30.655858511422256,11.495946941783346,44.87840825350037,21.518054532056006
50,31.89504373177843,49.329446064139944,18.775510204081634,14.518950437317784,48.862973760932945,21.341107871720116
52,4.888888888888889,40.81481481481482,54.2962962962963,9.037037037037036,31.62962962962963,24.814814814814813
